CD,Name,Family,DBH1,DBH2,Time
CRY1KU,Cryptocarya_kurzii,Lauraceae,3.4,4.3,10.512
CRY1RU,Cryptocarya_rugulosa,Lauraceae,3.6,3.7,11.044
DEHACU,Dehaasia_cuneata,Lauraceae,3.9,4.2,10.603
LITSCA,Litsea_castanea,Lauraceae,8,9.1,10.156
LITSM2,Litsea_magnifica,Lauraceae,3.5,4,10.025
LITSUF,Litsea_umbellata,Lauraceae,6.3,7.4,10.26
NOTHUM,Nothaphoebe_umbelliflora,Lauraceae,4.3,4.5,10.321
BARRMA,Barringtonia_macrostachya,Lecythidaceae,3.3,4.4,11.088
BARRPE,Barringtonia_pendula,Lecythidaceae,4.8,5.9,10.43
COELGR,Coelostegia_griffithii,Malvaceae,3.3,3.3,10.271
DURIGR,Durio_griffithii,Malvaceae,2.4,2.9,10.145
GREWBL,Microcos_blattaefolia,Malvaceae,10.6,10.6,10.427
GREWFI,Microcos_fibrocarpa,Malvaceae,9.1,9.2,10.496
GREWLA,Grewia_laurifolia,Malvaceae,6.8,7.3,10.088
GREWMI,Grewia_miqueliana,Malvaceae,2.2,2.2,10.515
HERIEL,Heritiera_elata,Malvaceae,2.5,2.7,10.482
HERISI,Heritiera_simplicifolia,Malvaceae,10.8,12.8,10.504
PEN2ST,Pentace_strychnoidea,Malvaceae,2.5,3.9,11.203
SCA2LI,Scaphium_linearicarpum,Malvaceae,4.3,5.4,11.233
SCA2MA,Scaphium_macropodum,Malvaceae,49,55.7,10.107
SCHOAC,Schoutenia_accrescens,Malvaceae,3.4,3.3,10.493
STERC1,Sterculia_coccinea,Malvaceae,6.9,7.3,10.263
STERPA,Sterculia_parviflora,Malvaceae,2.3,2.4,10.205
STERRU,Sterculia_rubiginosa,Malvaceae,2.9,3.7,10.249
PTE1CO,Pternandra_coerulescens,Melastomataceae,2.2,4,10.282
PTE1EC,Pternandra_echinata,Melastomataceae,2.9,3.2,10.178
